Transaction Date,Post Date,Description,Category,Type,Amount,Memo
04/12/2026,04/13/2026,AMAZON MKTPL*B70G430B1,Shopping,Sale,-31.35,
04/12/2026,04/13/2026,Amazon.com*BC1AE9IC0,Shopping,Sale,-29.12,
04/12/2026,04/13/2026,AMAZON MKTPL*BC1Z94I80,Shopping,Sale,-401.90,
04/11/2026,04/12/2026,AMAZON MKTPL*BY8PK0PA2,Shopping,Sale,-27.15,
04/12/2026,04/12/2026,AMAZON MKTPL*B70B50J41,Shopping,Sale,-58.70,
04/11/2026,04/12/2026,Amazon.com*BC6SA8D00,Shopping,Sale,-37.04,
04/04/2026,04/05/2026,AMAZON MKTPL*BG4T402B0,Shopping,Sale,-24.97,
04/04/2026,04/05/2026,Kindle Unltd*2O8XG3IG3,Shopping,Sale,-11.99,
04/05/2026,04/05/2026,AMAZON MKTPL*BC56Z1LT1,Shopping,Sale,-16.29,
04/04/2026,04/05/2026,AMAZON MKTPL*BG61Q5YD1,Shopping,Sale,-30.99,
04/04/2026,04/05/2026,AMAZON MKTPL*B727170N2,Shopping,Sale,-105.37,
04/03/2026,04/05/2026,AMAZON MKTPL*BG89K8HS0,Shopping,Sale,-172.66,
04/01/2026,04/02/2026,AMAZON PRIME*BG7J13E70,Shopping,Sale,-2.99,
03/31/2026,03/31/2026,AMAZON MKTPL*BC83D0602,Shopping,Sale,-24.69,
03/30/2026,03/30/2026,AMAZON MKTPL*B52EH67L0,Shopping,Sale,-40.16,
03/29/2026,03/30/2026,AMAZON MKTPL*B529O4K90,Shopping,Sale,-51.27,
03/30/2026,03/30/2026,Amazon.com*BC5K89XU2,Shopping,Sale,-36.82,
03/30/2026,03/30/2026,Amazon.com*BC4PI7VR2,Shopping,Sale,-157.50,
03/30/2026,03/30/2026,Amazon.com*BG5644NW1,Shopping,Sale,-184.64,
03/28/2026,03/29/2026,Prime Video *BC1D68AV2,Shopping,Sale,-19.99,
03/27/2026,03/27/2026,AMAZON MKTPL*B58GW3SV1,Shopping,Sale,-292.56,
03/27/2026,03/27/2026,AMAZON MKTPL*B55UU3P70,Shopping,Sale,-28.34,
03/25/2026,03/26/2026,AMAZON MKTPL*B52L51L70,Shopping,Sale,-673.14,
03/24/2026,03/25/2026,Kindle Svcs*BG3EZ9BW2,Shopping,Sale,-11.99,
03/24/2026,03/25/2026,Amazon.com*BG1YH08W2,Shopping,Sale,-40.84,
03/23/2026,03/24/2026,Kindle Svcs*BG6441072,Shopping,Sale,-13.99,
03/23/2026,03/23/2026,Audible*R16GS0NO3,Bills & Utilities,Sale,-13.20,
03/22/2026,03/23/2026,Prime Video *BD6R85DN0,Shopping,Sale,-5.99,
03/18/2026,03/19/2026,Amazon.com*B538988E2,Shopping,Sale,-7.99,
03/16/2026,03/17/2026,Kindle Svcs*BD5CR9NF1,Shopping,Sale,-11.99,
03/16/2026,03/17/2026,AMAZON MKTPL*B57ZC5E42,Shopping,Sale,-17.85,
03/13/2026,03/15/2026,AMAZON MKTPL*BP0J18PJ0,Shopping,Sale,-7.59,
03/13/2026,03/15/2026,AMAZON MKTPL*BD7EE2KZ2,Shopping,Sale,-248.74,
03/13/2026,03/15/2026,Prime Video *BD18R1KS2,Shopping,Sale,-3.99,
03/13/2026,03/13/2026,AUTOMATIC PAYMENT - THANK,,Payment,4426.98,
03/11/2026,03/12/2026,AMAZON MKTPL*BP9OE1F40,Shopping,Sale,-27.67,
03/11/2026,03/12/2026,AMAZON MKTPL*BP6NY7BN1,Shopping,Sale,-358.45,
03/09/2026,03/10/2026,AMAZON MKTPL*BD5KX0FQ2,Shopping,Sale,-27.15,
03/09/2026,03/10/2026,Amazon.com*BP2RD1N31,Shopping,Sale,-60.59,
03/09/2026,03/09/2026,AMAZON MKTPL*BP6U41Z91,Shopping,Sale,-13.68,
03/09/2026,03/09/2026,AMAZON MKTPL*BP6F39ZH1,Shopping,Sale,-175.93,
03/07/2026,03/08/2026,AMAZON MKTPL*BE4GX7WA1,Shopping,Sale,-17.37,
03/05/2026,03/06/2026,Amazon.com*BE5IO4330,Shopping,Sale,-135.73,
03/04/2026,03/05/2026,Kindle Unltd*5C8WN70U3,Shopping,Sale,-11.99,
03/04/2026,03/05/2026,Amazon.com*BE4ZP7MP1,Shopping,Sale,-19.13,
03/03/2026,03/04/2026,AMAZON MKTPL*BE86O2EL1,Shopping,Sale,-21.71,
03/03/2026,03/04/2026,AMAZON MKTPL*BP5O54ZW2,Shopping,Sale,-59.73,
03/03/2026,03/04/2026,Amazon.com*BE4I260H1,Shopping,Sale,-86.28,
03/02/2026,03/03/2026,Amazon.com*BE9582Z61,Shopping,Sale,-27.54,
03/01/2026,03/02/2026,AMAZON MKTPL*B960O8MT0,Shopping,Sale,-572.45,
03/01/2026,03/02/2026,AMAZON PRIME*BE3WF9ON1,Shopping,Sale,-2.99,
02/26/2026,02/27/2026,AMAZON MKTPL*BE8Z95GG2,Shopping,Sale,-97.58,
02/26/2026,02/27/2026,Kindle Svcs*B99I80X21,Shopping,Sale,-5.99,
02/26/2026,02/26/2026,Audible*DB4YX7CL3,Bills & Utilities,Sale,-5.05,
02/25/2026,02/25/2026,Amazon.com*0A14211O3,Shopping,Sale,-82.45,
02/25/2026,02/25/2026,Amazon.com*UZ8JD55A3,Shopping,Sale,-397.30,
02/24/2026,02/24/2026,Prime Video *XP2TZ9VI3,Shopping,Sale,-3.99,
02/20/2026,02/20/2026,Amazon.com*B93FY2XB2,Shopping,Sale,-195.51,
02/15/2026,02/16/2026,Amazon.com*NX9JV2CN3,Shopping,Sale,-152.06,
02/15/2026,02/16/2026,Audible*PQ9GR9WK3,Bills & Utilities,Sale,-17.00,
02/15/2026,02/16/2026,Amazon.com*DE93J3TY3,Shopping,Sale,-8.05,
02/15/2026,02/16/2026,Amazon.com,Shopping,Return,152.06,
02/15/2026,02/16/2026,Prime Video *VC58A13A3,Shopping,Sale,-19.99,
02/14/2026,02/15/2026,AMAZON MKTPL*HE9WD47A3,Shopping,Sale,-275.32,
02/14/2026,02/15/2026,AMAZON MKTPL*ON8SZ4E53,Shopping,Sale,-42.35,
02/13/2026,02/13/2026,AUTOMATIC PAYMENT - THANK,,Payment,3665.68,
02/12/2026,02/13/2026,Amazon.com*ZZ5OX6CD3,Shopping,Sale,-161.86,
02/12/2026,02/13/2026,AMAZON MKTPL*U03O22Z63,Shopping,Sale,-57.56,
02/10/2026,02/11/2026,AMAZON MKTPLACE PMTS,Shopping,Return,36.92,
02/10/2026,02/10/2026,AMAZON MKTPL*4T6SN0543,Shopping,Sale,-105.70,
02/09/2026,02/10/2026,Amazon.com*B45VF28S3,Shopping,Sale,-37.04,
02/08/2026,02/09/2026,Amazon.com*BA4O52RU3,Shopping,Sale,-52.73,
02/09/2026,02/09/2026,AMAZON MKTPL*728CB9FN3,Shopping,Sale,-140.71,
02/08/2026,02/09/2026,AMAZON MKTPL*NW0AY8YE3,Shopping,Sale,-36.92,
02/08/2026,02/09/2026,AMAZON MKTPL*WD8H81L93,Shopping,Sale,-233.45,
02/04/2026,02/05/2026,Kindle Unltd*RN6HK4203,Shopping,Sale,-11.99,
02/03/2026,02/03/2026,AMAZON MKTPL*S34HO1I33,Shopping,Sale,-14.37,
02/02/2026,02/03/2026,AMAZON MKTPL*WQ1JH33O3,Shopping,Sale,-217.24,
02/03/2026,02/03/2026,AMAZON MKTPL*HN5YO6YF3,Shopping,Sale,-115.63,
02/01/2026,02/02/2026,AMAZON PRIME*PS7W56273,Shopping,Sale,-2.99,
02/01/2026,02/01/2026,Amazon.com*P00NN0T83,Shopping,Sale,-23.72,
01/30/2026,02/01/2026,AMAZON MKTPL*153E17H93,Shopping,Sale,-1737.99,
01/28/2026,01/29/2026,AMAZON MKTPL*RZ6SW8MM3,Shopping,Sale,-83.93,
01/27/2026,01/28/2026,SP ONWARD BRANDS,Shopping,Sale,-263.92,
01/25/2026,01/26/2026,Prime Video *4Z28W33N3,Shopping,Sale,-19.99,
01/23/2026,01/25/2026,Prime Video Channels,Shopping,Sale,-12.99,
01/22/2026,01/23/2026,Kindle Svcs*049ME51H3,Shopping,Sale,-3.99,
01/22/2026,01/23/2026,AMAZON MKTPL*3065Z7EN3,Shopping,Sale,-158.06,
01/21/2026,01/22/2026,Amazon.com*AY09Y4CS3,Shopping,Sale,-23.86,
01/21/2026,01/22/2026,AMAZON MKTPL*2O68I0XO3,Shopping,Sale,-32.47,
01/21/2026,01/22/2026,AMAZON MKTPL*5C2OW2M93,Shopping,Sale,-32.47,
01/22/2026,01/22/2026,AMAZON MKTPL*T28AJ8ML3,Shopping,Sale,-120.60,
01/20/2026,01/21/2026,AMAZON MKTPL*1O80C4G83,Shopping,Sale,-26.82,
01/20/2026,01/20/2026,AMAZON MKTPL*YA0BD0J33,Shopping,Sale,-18.46,
01/19/2026,01/20/2026,AMAZON MKTPL*2O2T41PK3,Shopping,Sale,-31.38,
01/20/2026,01/20/2026,AMAZON MKTPL*YE9UY3KF3,Shopping,Sale,-26.04,
01/19/2026,01/20/2026,Amazon.com*GC8338ET3,Shopping,Sale,-20.61,
01/19/2026,01/20/2026,AMAZON MKTPL*U765G34F3,Shopping,Sale,-35.26,
01/20/2026,01/20/2026,AMAZON MKTPL*BP2IY9EX3,Shopping,Sale,-10.85,
01/18/2026,01/19/2026,AMAZON MKTPL*KX5GM8EL3,Shopping,Sale,-24.99,
01/17/2026,01/18/2026,Amazon.com*J41AZ4P63,Shopping,Sale,-20.23,
01/17/2026,01/18/2026,AMAZON MKTPL*BC1E106U3,Shopping,Sale,-77.10,
01/17/2026,01/18/2026,Amazon.com*D888X2RX3,Shopping,Sale,-10.63,
01/18/2026,01/18/2026,AMAZON MKTPL*LZ6XR6JZ3,Shopping,Sale,-59.72,
01/16/2026,01/16/2026,AMAZON MKTPL*VQ5S65S03,Shopping,Sale,-42.22,
01/14/2026,01/14/2026,AMAZON MKTPL*0X02Z56Q3,Shopping,Sale,-54.30,
01/14/2026,01/14/2026,AMAZON MKTPL*LH7GM6R83,Shopping,Sale,-34.74,
01/13/2026,01/13/2026,AUTOMATIC PAYMENT - THANK,,Payment,1937.22,
01/11/2026,01/11/2026,AMAZON MKTPL*EO8WY9Q73,Shopping,Sale,-33.68,
01/07/2026,01/08/2026,AMAZON MKTPL*OL09B96Z3,Shopping,Sale,-97.69,
01/07/2026,01/08/2026,AMAZON MKTPL*UT8C46LS3,Shopping,Sale,-7.59,
01/07/2026,01/07/2026,Amazon.com*ZD4678OA3,Shopping,Sale,-110.06,
01/06/2026,01/07/2026,AMAZON MKTPL*UO8WD67V3,Shopping,Sale,-119.48,
01/06/2026,01/07/2026,AMAZON MKTPL*M152X8F43,Shopping,Sale,-41.27,
01/06/2026,01/06/2026,AMAZON MKTPL*HT7V32L43,Shopping,Sale,-39.06,
01/06/2026,01/06/2026,Amazon.com*DG45J4DS3,Shopping,Sale,-13.57,
01/05/2026,01/06/2026,AMAZON MKTPL*TF3DB1ZN3,Shopping,Sale,-30.36,
01/04/2026,01/05/2026,Kindle Unltd*TD2X84FV3,Shopping,Sale,-11.99,
01/03/2026,01/04/2026,Prime Video *U08ZG8E63,Shopping,Sale,-4.99,
01/02/2026,01/04/2026,AMAZON MKTPL*9I51K5Y53,Shopping,Sale,-142.06,
01/04/2026,01/04/2026,AMAZON MKTPL*D68FJ12O3,Shopping,Sale,-52.76,
01/02/2026,01/04/2026,AMAZON MKTPL*8C4O56Z33,Shopping,Sale,-217.20,
01/04/2026,01/04/2026,AMAZON MKTPL*N40CX06T3,Shopping,Sale,-81.46,
01/03/2026,01/04/2026,Prime Video *WF7RC2P43,Shopping,Sale,-3.99,
01/01/2026,01/02/2026,AMAZON PRIME*M69RR0893,Shopping,Sale,-2.99,
