Transaction Date,Post Date,Description,Category,Type,Amount,Memo
05/06/2026,05/06/2026,Amazon.com*BV42O0381,Shopping,Sale,-42.74,
05/04/2026,05/05/2026,Kindle Unltd*WS2UD7AX3,Shopping,Sale,-11.99,
05/05/2026,05/05/2026,Amazon.com*BJ8AU2V30,Shopping,Sale,-26.02,
05/01/2026,05/03/2026,AMAZON PRIME*BS8836RB0,Shopping,Sale,-4.99,
04/28/2026,04/29/2026,AMAZON MKTPL*BS32L5W31,Shopping,Sale,-71.68,
04/26/2026,04/27/2026,Prime Video *BJ4LP6K32,Shopping,Sale,-3.99,
04/25/2026,04/26/2026,Amazon Tips*BJ04B65G2,Shopping,Sale,-10.00,
04/24/2026,04/26/2026,Amazon.com*BY82686S0,Groceries,Sale,-255.21,
04/23/2026,04/24/2026,AMAZON MKTPL*BY9347H00,Shopping,Sale,-74.84,
04/22/2026,04/23/2026,AMAZON MKTPL*BJ8I99ZN2,Shopping,Sale,-228.90,
04/22/2026,04/23/2026,AMAZON MKTPL*BJ0783LU2,Shopping,Sale,-68.61,
04/21/2026,04/22/2026,Amazon.com*BY8Q66A30,Shopping,Sale,-22.72,
04/21/2026,04/22/2026,AMAZON MKTPL*BY5TJ4NH0,Shopping,Sale,-28.95,
04/21/2026,04/22/2026,AMAZON MKTPL*BY8ZW6A30,Shopping,Sale,-70.61,
04/21/2026,04/22/2026,AMAZON MKTPL*BY4P982Z1,Shopping,Sale,-22.99,
04/20/2026,04/21/2026,Amazon.com*BY5LR8490,Shopping,Sale,-38.55,
04/19/2026,04/20/2026,AMAZON MKTPL*BY2KJ5VC1,Shopping,Sale,-107.98,
04/20/2026,04/20/2026,AMAZON MKTPL*BS58X92C2,Shopping,Sale,-23.16,
04/15/2026,04/16/2026,Audible*256GA2TA3,Bills & Utilities,Sale,-17.00,
04/14/2026,04/14/2026,Amazon.com*B77Z105M1,Shopping,Sale,-44.49,
04/13/2026,04/14/2026,AMAZON MKTPL*BY9F16SG2,Shopping,Sale,-16.71,
04/14/2026,04/14/2026,AMAZON MKTPL*B72OT0HP1,Shopping,Sale,-228.31,
04/14/2026,04/14/2026,AMAZON MKTPL*B749T2HG1,Shopping,Sale,-38.01,
04/13/2026,04/13/2026,AUTOMATIC PAYMENT - THANK,,Payment,2666.58,
