Transaction Date,Post Date,Description,Category,Type,Amount,Memo
06/29/2026,06/30/2026,PEOPLE DATA LABS,Professional Services,Sale,-587.92,
06/29/2026,06/30/2026,Longchamp,Shopping,Sale,-262.33,
06/28/2026,06/29/2026,DOLLAR ASHEVILLE - AVD,Travel,Sale,-55.50,
06/28/2026,06/29/2026,DOLLAR ASHEVILLE - AVD,Travel,Sale,-267.90,
06/29/2026,06/29/2026,SQ *VICTORIA CAPOBIANCO ,Health & Wellness,Sale,-200.00,
06/28/2026,06/29/2026,UPS*ADJ00444396472661,Personal,Return,239.75,
06/28/2026,06/29/2026,BRYSON'S FOOD STORE,Groceries,Sale,-72.75,
06/29/2026,06/29/2026,SP QUEEN OF THE COURT,Shopping,Sale,-36.19,
06/28/2026,06/29/2026,LS WITS END SHOP,Shopping,Sale,-254.92,
06/27/2026,06/29/2026,CHICK-FIL-A #04655,Food & Drink,Sale,-32.56,
06/27/2026,06/29/2026,ALLEGIANT AIR,Groceries,Sale,-21.00,
06/26/2026,06/28/2026,UPS*1ZM545TF0338566447,Personal,Sale,-411.22,
06/26/2026,06/28/2026,ANTHROPIC* CLAUDE SUB,Shopping,Sale,-217.25,
06/26/2026,06/28/2026,SALON POP,Personal,Sale,-85.00,
06/26/2026,06/28/2026,CVS/PHARMACY #10653,Health & Wellness,Sale,-68.13,
06/28/2026,06/28/2026,CANONICA PRI LLC,Food & Drink,Sale,-4.30,
06/27/2026,06/28/2026,DD *DOORDASH DOUGHCO.P,Food & Drink,Sale,-127.06,
06/27/2026,06/28/2026,LOCUST VALLEY MARKET #104,Groceries,Sale,-38.47,
06/27/2026,06/28/2026,DOORDASH*06/26-3 ORDER,Food & Drink,Sale,-66.54,
06/23/2026,06/26/2026,LITTLE FLOWER HOUSE,Shopping,Sale,-57.57,
06/25/2026,06/26/2026,SQ *PRESTIGE CUSTOM CARPE,Professional Services,Sale,-900.00,
06/25/2026,06/26/2026,DD *DOORDASH STOPSHOP,Food & Drink,Sale,-103.71,
