area,pop,kids,bike_pop,bike_kids,car_pop,car_kids
Nassau County,1389160.0,297719.0,42125.56415658172,8758.916328761265,112825.51674457814,25583.203034622904
Town of Oyster Bay,299958.0,62212.0,16533.378685552612,3983.1137552866903,53362.08226143208,12428.89624822548
Glen Cove (city),28132.0,5154.0,25466.898514955363,4754.816645672181,25112.753381473278,4701.95177797636
Glen Cove DAC area,13023.0,2601.0,11774.582243640103,2408.918243968661,11632.095258403937,2386.9951735890977
