GEOID,min_open_min,min_any_min
36059517202,27.920833333333334,27.920833333333334
36059517201,28.550666666666665,28.550666666666665
36059990200,40.224333333333334,40.224333333333334
36059517000,32.656,32.656
36059517101,33.63333333333333,33.63333333333333
36059517801,34.1795,31.377333333333336
36059517901,34.354,33.48383333333333
36059517102,33.20366666666667,33.20366666666667
36059517301,30.789833333333334,30.789833333333334
36059517302,33.216,33.216
36059517400,24.985333333333333,24.985333333333333
36059517701,29.075833333333332,23.73616666666667
36059518000,26.919833333333333,25.5825
36059518100,27.20266666666667,24.529
36059517600,31.246166666666667,31.246166666666667
36059517705,29.942999999999998,22.244333333333334
36059517802,32.93383333333333,30.035833333333336
36059981100,29.052,26.557833333333335
